length_chars,length_tokens,num_distinct_tokens,num_capital_chars,num_capital_tokens,num_free,num_digits,label
28,7,7,1,0,0,0,ham
31,5,5,1,0,0,0,ham
42,8,8,2,0,0,0,ham
76,15,15,3,0,0,0,ham
22,5,5,1,0,0,0,ham
54,10,10,2,0,0,0,ham
160,41,35,4,0,0,2,ham
131,28,25,95,25,0,2,ham
54,12,12,2,0,0,0,ham
40,7,7,1,0,0,0,ham
35,9,9,1,0,0,0,ham
150,33,29,5,1,0,0,ham
60,11,11,1,0,0,0,ham
32,6,6,1,0,0,0,ham
29,6,6,1,0,0,0,ham
7,1,1,1,0,0,0,ham
139,26,25,4,1,0,22,spam
54,12,12,1,0,0,0,ham
46,9,9,2,0,0,0,ham
24,5,5,2,0,0,0,ham
40,9,9,3,0,0,0,ham
126,21,21,4,0,0,0,ham
33,6,6,2,0,0,0,ham
147,28,26,3,0,0,0,ham
155,27,26,7,0,0,16,spam
21,4,4,1,0,0,0,ham
59,12,12,1,0,0,0,ham
77,18,17,3,0,0,0,ham
37,6,6,1,0,0,0,ham
58,12,11,2,0,0,0,ham
58,11,11,2,0,0,0,ham
44,10,10,1,0,0,0,ham
588,119,82,53,4,0,2,ham
23,5,5,3,0,0,0,ham
47,11,11,2,0,0,1,ham
45,9,9,1,0,0,0,ham
150,30,29,4,0,0,0,ham
31,7,7,1,0,0,0,ham
57,9,9,1,0,0,0,ham
142,28,27,3,0,0,0,ham
2,1,1,1,0,0,0,ham
106,19,17,6,0,0,11,spam
25,5,5,1,0,0,0,ham
113,25,21,3,0,0,0,ham
36,8,7,2,0,0,0,ham
111,19,15,4,0,0,0,ham
102,20,20,4,0,0,0,ham
133,29,26,2,0,0,0,ham
150,28,24,11,2,1,18,spam
40,7,7,1,0,0,0,ham
157,27,26,4,0,0,17,spam
22,6,6,1,0,0,1,ham
139,30,28,14,3,3,7,spam
40,8,7,1,0,0,0,ham
52,12,12,3,0,0,0,ham
444,83,66,44,1,0,11,ham
68,13,11,3,0,0,0,ham
52,11,11,2,0,0,1,ham
105,18,18,2,0,0,0,ham
64,11,11,1,0,0,0,ham
77,19,18,3,0,0,0,ham
99,22,17,5,1,0,0,ham
75,16,16,3,0,0,0,ham
33,7,7,1,0,0,0,ham
156,25,25,26,2,0,3,ham
22,5,5,1,0,0,0,ham
77,18,17,2,0,0,0,ham
66,15,14,2,0,0,0,ham
36,7,7,1,0,0,0,ham
160,23,21,13,1,1,18,spam
124,26,23,2,0,0,0,ham
39,10,10,1,0,0,0,ham
134,27,25,2,0,0,0,ham
24,5,5,1,0,0,0,ham
27,5,5,1,0,0,0,ham
73,15,14,2,0,0,0,ham
130,30,28,5,1,0,2,ham
27,6,6,1,0,0,0,ham
137,30,26,15,3,1,2,spam
35,8,8,1,0,0,0,ham
106,16,15,7,0,0,13,spam
44,10,10,1,0,0,1,ham
89,17,13,2,0,0,0,ham
82,17,13,2,0,0,2,ham
141,25,24,3,0,0,0,spam
36,8,7,1,0,0,0,ham
93,20,20,3,0,0,1,ham
59,13,13,2,0,0,0,ham
65,13,12,1,0,0,0,ham
95,22,17,3,0,0,0,ham
27,7,7,2,0,0,0,ham
113,22,20,5,0,0,0,ham
32,7,7,1,0,0,0,ham
38,6,6,1,0,0,0,ham
66,13,12,2,0,0,0,ham
58,15,14,7,1,0,0,ham
62,12,12,2,0,0,0,ham
50,9,9,1,0,0,1,ham
37,7,7,1,0,0,0,ham
156,31,27,11,1,0,1,ham
54,10,9,2,0,0,0,ham
37,8,8,1,0,0,0,ham
24,6,6,2,0,0,0,ham
23,5,5,1,0,0,0,ham
58,12,10,2,0,0,0,ham
114,17,17,10,0,1,1,spam
115,18,18,8,1,0,16,spam
75,12,12,2,0,0,0,ham
158,33,30,18,2,1,19,spam
32,7,7,1,0,0,0,ham
29,7,7,2,0,0,0,ham
40,8,8,1,0,0,0,ham
29,6,6,1,0,0,0,ham
54,10,10,2,0,0,0,ham
153,32,28,9,2,0,19,spam
47,8,8,1,0,0,1,ham
132,29,26,2,0,0,0,ham
59,12,11,2,0,0,1,ham
25,6,6,1,0,0,0,ham
18,4,4,1,0,0,0,ham
